epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5817,1.04141,3.04932,1.3213,0.38345,0.37238,0.31757,0.21214,1.10739,2.27431,1.30074,0.000195338,0.000195338,0.000195338
2,108.144,1.09192,2.19804,1.32585,0.3547,0.33209,0.29318,0.19605,1.19694,2.25924,1.3904,0.000386172,0.000386172,0.000386172
3,159.634,1.13296,2.19063,1.37037,0.47734,0.363,0.34795,0.23487,1.2087,2.05952,1.42449,0.000571832,0.000571832,0.000571832
4,211.12,1.12454,2.11997,1.36078,0.40771,0.42469,0.36978,0.24603,1.16535,1.93189,1.36427,0.000564715,0.000564715,0.000564715
5,262.973,1.1101,2.02714,1.34932,0.44461,0.41116,0.38653,0.26515,1.14601,1.8551,1.32609,0.000556954,0.000556954,0.000556954
6,314.018,1.08489,1.94081,1.33253,0.44157,0.44545,0.41904,0.29671,1.09142,1.78674,1.30325,0.000549192,0.000549192,0.000549192
7,365.66,1.07087,1.87732,1.33361,0.47913,0.47258,0.44907,0.3192,1.07469,1.67712,1.30166,0.00054143,0.00054143,0.00054143
8,416.505,1.05944,1.81691,1.31572,0.53509,0.49605,0.49262,0.35213,1.04252,1.57381,1.26762,0.000533669,0.000533669,0.000533669
9,467.498,1.034,1.7431,1.29646,0.54037,0.51317,0.52706,0.37349,1.06484,1.50463,1.28523,0.000525907,0.000525907,0.000525907
10,519.101,1.0245,1.68035,1.28549,0.57055,0.5351,0.54448,0.39317,1.01516,1.46721,1.24305,0.000518146,0.000518146,0.000518146
11,569.792,1.02588,1.65782,1.28129,0.57852,0.52863,0.56461,0.42143,0.98752,1.3805,1.21852,0.000510384,0.000510384,0.000510384
12,620.299,0.99093,1.60736,1.26325,0.61758,0.54745,0.59435,0.44211,0.99863,1.31237,1.20945,0.000502622,0.000502622,0.000502622
13,670.963,1.00261,1.55344,1.26769,0.5947,0.55028,0.57872,0.43211,0.97498,1.35589,1.20775,0.000494861,0.000494861,0.000494861
14,721.575,0.97419,1.53216,1.25226,0.56664,0.57303,0.59029,0.44486,0.95813,1.38486,1.20575,0.000487099,0.000487099,0.000487099
15,772.514,0.96256,1.50619,1.24875,0.62471,0.59435,0.63084,0.47862,0.93527,1.23043,1.18201,0.000479338,0.000479338,0.000479338
16,823.145,0.97091,1.47612,1.25122,0.63567,0.59869,0.64183,0.48466,0.93889,1.20092,1.18094,0.000471576,0.000471576,0.000471576
17,873.759,0.94917,1.45425,1.23108,0.62739,0.61156,0.6454,0.48948,0.92892,1.17371,1.18863,0.000463814,0.000463814,0.000463814
18,924.368,0.94612,1.43339,1.23285,0.68347,0.59447,0.67014,0.50782,0.9105,1.12698,1.16188,0.000456053,0.000456053,0.000456053
19,975.644,0.94156,1.393,1.23331,0.66329,0.65389,0.69679,0.53094,0.92107,1.08882,1.17851,0.000448291,0.000448291,0.000448291
